brand,supplier_ref,normalized_ref,name,normalized_name,category,image_url,pdf_url,source_url
orkli,V-05368,V05368,"72,76 €","72,76 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,E-18620,E18620,ARMARIO PLÁSTICO 335x275x88 Suelo Radiante,armario plastico 335x275x88 suelo radiante,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,E-18621,E18621,ARMARIO PLÁSTICO 415x275x88 Suelo Radiante,armario plastico 415x275x88 suelo radiante,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,E-18622,E18622,ARMARIO PLÁSTICO 515x275x88 Suelo Radiante,armario plastico 515x275x88 suelo radiante,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,E-22510,E22510,ARMARIO PLÁSTICO 615x325x88 Suelo Radiante,armario plastico 615x325x88 suelo radiante,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,E-25228,E25228,CAJA DE CONEXIONES CABLEADO Suelo Radiante,caja de conexiones cableado suelo radiante,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-01121,V01121,V.PRESION DIFERENCIAL Componentes de,v.presion diferencial componentes de,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-02070,V02070,ADAPTADOR M30x1.5 CABEZA,adaptador m30x1.5 cabeza,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-02214,V02214,ADAPTADOR M28x1 CABEZA TERMOELECTRICA Suelo Radiante,adaptador m28x1 cabeza termoelectrica suelo radiante,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-04226,V04226,"ACC.EUROCONO T.PER D16x1,8 Suelo Radiante","acc.eurocono t.per d16x1,8 suelo radiante",radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
